Buyer,Greater100,Greater105,Greater110,Purchase Count,Market Share,Particular Market Share,Purchase Age,Inverse Age
Bridge Valley,104,70,39,229,0.021954376880554197,0.13539667907122677,154.31231962481962,0.00736519052705397
Automobiles Paille Inc.,71,46,21,168,0.02323140438037926,0.12164096467519903,148.57789855072463,0.007281554705119933
R.S. Car Sales Ltd,15,10,5,97,0.003936043663844377,0.08384639683138853,164.8421052631579,0.006409573225413886
Gateway Leasing,33,30,19,68,0.008466867259114127,0.0611699606494634,149.575,0.007870958789846134
Gateway Leasing - East,13,12,11,67,0.006332656916940731,0.055733362727763004,166.91190476190476,0.006666960656148778
Sundance Chevrolet,50,45,30,62,0.012070533902456092,0.05358117060592843,168.0,0.0072584791167053676
European Auto Gallery,31,30,29,44,0.012123014484640683,0.07500746480743893,163.0686274509804,0.006931827276586675
Autospace Incorporated - Deals On Wheelz,8,6,0,42,0.011458260443635857,0.07610067350625191,138.64705882352942,0.012565116552770064
Explorer Van Canada,18,9,0,40,0.0016968721573017984,0.048914484955915785,147.5185185185185,0.006821401769458831
6929290 Canada Corporation,38,29,16,39,0.004740745924008117,0.05546354456900063,210.13888888888889,0.005277156502023456
2776588 Ontario Limited - Trucktown,3,1,1,37,0.00851934784129872,0.034400693975689636,90.296875,0.0129881212641748
9578862 Canada Inc - Prio Auto Sales,30,28,20,37,0.007487229725001749,0.08083323682408367,162.92857142857142,0.007631905226751794
1202894 Ontario Inc - Edwards Mazda,23,23,19,34,0.002484080890070674,0.041776898418475074,134.93333333333334,0.010662788694153706
2970-7528 Quebec Inc - H Gregoire/Lane1,21,14,8,32,0.009219088937093275,0.14119575746000163,202.86666666666667,0.00656426033602114
Autorama 2000 Inc.,26,22,20,30,0.005860331677279407,0.16241586447178552,148.40625,0.009264191481380269
Courtier Automobile Superieur,25,21,14,29,0.0034987054789727802,0.10293703461838359,163.71428571428572,0.007991327080190383
Unicar Auto Group,24,21,17,28,0.0023616261983066267,0.06376512355666629,223.76666666666668,0.004789933433955674
7767579 Canada Inc - Nexgen Cars Canada,22,22,16,26,0.0036036666433419636,0.06993919033828987,131.21794871794873,0.011159248700306525
Automobile Endirect.com,14,10,1,23,0.008956686026170318,0.09113045404671169,173.69375,0.00824164081792991
