Make,Model,Year,Trim,Buyer,Greater100,Greater105,Greater110,Purchase Count,Market Share,Particular Market Share
Ford,F-150,2019,XLT 4WD SuperCrew 5.5' Box,Bridge Valley,7,3,2,16,0.021954376880554197,0.13793103448275862
Ford,F-150,2019,XLT 4WD SuperCrew 5.5' Box,Automobiles Paille Inc.,6,4,1,15,0.02323140438037926,0.12931034482758622
Ford,F-150,2019,XLT 4WD SuperCrew 5.5' Box,R.S. Car Sales Ltd,0,0,0,9,0.003936043663844377,0.07758620689655173
Ford,F-150,2019,XLT 4WD SuperCrew 5.5' Box,Gateway Leasing - East,0,0,0,5,0.0063326569169407316,0.04310344827586207
Ford,F-150,2019,XLT 4WD SuperCrew 5.5' Box,Explorer Van Canada,2,1,0,5,0.0016968721573017984,0.04310344827586207
Ford,F-150,2019,XLT 4WD SuperCrew 5.5' Box,2776588 Ontario Limited - Trucktown,0,0,0,4,0.00851934784129872,0.034482758620689655
Ford,F-150,2019,XLT 4WD SuperCrew 5.5' Box,Gateway Leasing,2,2,1,4,0.008466867259114127,0.034482758620689655
Ford,F-150,2019,XLT 4WD SuperCrew 5.5' Box,1202894 Ontario Inc - Edwards Mazda,2,2,2,3,0.002484080890070674,0.02586206896551724
Ford,F-150,2019,XLT 4WD SuperCrew 5.5' Box,European Auto Gallery,2,2,2,3,0.012123014484640683,0.02586206896551724
Ford,F-150,2019,XLT 4WD SuperCrew 5.5' Box,1716858 Ontario Inc.,0,0,0,2,0.0028864320201525437,0.017241379310344827
Ford,F-150,2019,XLT 4WD SuperCrew 5.5' Box,Steele Ford Lincoln,1,0,0,2,8.74676369743195e-05,0.017241379310344827
Ford,F-150,2019,XLT 4WD SuperCrew 5.5' Box,Midcan Brokers Inc.,1,0,0,2,0.003341263732419005,0.017241379310344827
Ford,F-150,2019,XLT 4WD SuperCrew 5.5' Box,Sundance Chevrolet,2,2,1,2,0.012070533902456092,0.017241379310344827
Ford,F-150,2019,XLT 4WD SuperCrew 5.5' Box,6929290 Canada Corporation,2,1,0,2,0.004740745924008117,0.017241379310344827
Ford,F-150,2019,XLT 4WD SuperCrew 5.5' Box,Style Auto - 9052-5585 Quebec Inc,0,0,0,1,0.0018018333216709818,0.008620689655172414
Ford,F-150,2019,XLT 4WD SuperCrew 5.5' Box,Midtown Motors,1,1,1,1,0.002274158561332307,0.008620689655172414
Ford,F-150,2019,XLT 4WD SuperCrew 5.5' Box,Mr. Automotives,0,0,0,1,0.0002274158561332307,0.008620689655172414
