,Make,Model,Year,Trim,Buyer,Greater100,Greater105,Greater110,Purchase Count,Market Share,Particular Market Share,Purchase Age,Inverse Age
0,Ford,F-150,2019,XLT 4WD SuperCrew 5.5' Box,Bridge Valley,7,3,2,16,0.021954376880554197,0.13793103448275862,135.2,0.007396449704142012
1,Ford,F-150,2019,XLT 4WD SuperCrew 5.5' Box,Automobiles Paille Inc.,6,4,1,15,0.02323140438037926,0.12931034482758622,174.28571428571428,0.0057377049180327875
2,Ford,F-150,2019,XLT 4WD SuperCrew 5.5' Box,R.S. Car Sales Ltd,0,0,0,9,0.003936043663844377,0.07758620689655173,143.5,0.006968641114982578
3,Ford,F-150,2019,XLT 4WD SuperCrew 5.5' Box,Gateway Leasing - East,0,0,0,5,0.0063326569169407316,0.04310344827586207,143.8,0.006954102920723226
4,Ford,F-150,2019,XLT 4WD SuperCrew 5.5' Box,Explorer Van Canada,2,1,0,5,0.0016968721573017984,0.04310344827586207,137.0,0.0072992700729927005
5,Ford,F-150,2019,XLT 4WD SuperCrew 5.5' Box,2776588 Ontario Limited - Trucktown,0,0,0,4,0.00851934784129872,0.034482758620689655,102.25,0.009779951100244499
6,Ford,F-150,2019,XLT 4WD SuperCrew 5.5' Box,Gateway Leasing,2,2,1,4,0.008466867259114127,0.034482758620689655,186.5,0.005361930294906166
7,Ford,F-150,2019,XLT 4WD SuperCrew 5.5' Box,1202894 Ontario Inc - Edwards Mazda,2,2,2,3,0.002484080890070674,0.02586206896551724,178.0,0.0056179775280898875
8,Ford,F-150,2019,XLT 4WD SuperCrew 5.5' Box,European Auto Gallery,2,2,2,3,0.012123014484640683,0.02586206896551724,172.66666666666666,0.005791505791505792
9,Ford,F-150,2019,XLT 4WD SuperCrew 5.5' Box,1716858 Ontario Inc.,0,0,0,2,0.0028864320201525437,0.017241379310344827,191.0,0.005235602094240838
10,Ford,F-150,2019,XLT 4WD SuperCrew 5.5' Box,Steele Ford Lincoln,1,0,0,2,8.74676369743195e-05,0.017241379310344827,188.0,0.005319148936170213
11,Ford,F-150,2019,XLT 4WD SuperCrew 5.5' Box,Midcan Brokers Inc.,1,0,0,2,0.003341263732419005,0.017241379310344827,,
12,Ford,F-150,2019,XLT 4WD SuperCrew 5.5' Box,Sundance Chevrolet,2,2,1,2,0.012070533902456092,0.017241379310344827,,
13,Ford,F-150,2019,XLT 4WD SuperCrew 5.5' Box,6929290 Canada Corporation,2,1,0,2,0.004740745924008117,0.017241379310344827,210.0,0.004761904761904762
14,Ford,F-150,2019,XLT 4WD SuperCrew 5.5' Box,Style Auto - 9052-5585 Quebec Inc,0,0,0,1,0.0018018333216709818,0.008620689655172414,240.0,0.004166666666666667
15,Ford,F-150,2019,XLT 4WD SuperCrew 5.5' Box,Midtown Motors,1,1,1,1,0.002274158561332307,0.008620689655172414,,
16,Ford,F-150,2019,XLT 4WD SuperCrew 5.5' Box,Mr. Automotives,0,0,0,1,0.0002274158561332307,0.008620689655172414,121.0,0.008264462809917356
17,Ford,F-150,2019,XLT 4WD SuperCrew 5.5' Box,Yosh Shmenge Remarketing,1,0,0,1,0.003533692533762508,0.008620689655172414,127.0,0.007874015748031496
18,Ford,F-150,2019,XLT 4WD SuperCrew 5.5' Box,Woods Auto Sales Ltd.,0,0,0,1,0.0001574417465537751,0.008620689655172414,59.0,0.01694915254237288
19,Ford,F-150,2019,XLT 4WD SuperCrew 5.5' Box,Wallace Automobiles,0,0,0,1,0.0009096634245329228,0.008620689655172414,158.0,0.006329113924050633
20,Ford,F-150,2019,XLT 4WD SuperCrew 5.5' Box,Vickar Chevrolet,0,0,0,1,0.0005947799314253726,0.008620689655172414,105.0,0.009523809523809525
21,Ford,F-150,2019,XLT 4WD SuperCrew 5.5' Box,Overdrive Motors Inc,0,0,0,1,0.0011895598628507453,0.008620689655172414,129.0,0.007751937984496124
22,Ford,F-150,2019,XLT 4WD SuperCrew 5.5' Box,Pacific Nations Auto Sales And Finance Ltd,0,0,0,1,0.0008047022601637394,0.008620689655172414,129.0,0.007751937984496124
23,Ford,F-150,2019,XLT 4WD SuperCrew 5.5' Box,Pickard Lane Leasing,1,0,0,1,0.0036386536981316913,0.008620689655172414,217.0,0.004608294930875576
