Make,Model,Buyer,Greater100,Greater105,Greater110,Purchase Count,Market Share,Particular Market Share,Purchase Age,Inverse Age
Ford,F-150,Bridge Valley,100,80,54,266,0.021954376880554197,0.11032766486934882,144.6969696969697,0.006910994764397906
Ford,F-150,Automobiles Paille Inc.,106,74,53,262,0.02323140438037926,0.10866860223973455,136.5734597156398,0.007322066835548461
Ford,F-150,Gateway Leasing,70,55,39,168,0.008466867259114127,0.06968063044379925,143.73043478260868,0.0069574686913908895
Ford,F-150,Gateway Leasing - East,38,24,15,94,0.0063326569169407316,0.03898797179593529,142.5068493150685,0.007017206575026434
Ford,F-150,R.S. Car Sales Ltd,24,16,9,86,0.003936043663844377,0.03566984653670676,150.45762711864407,0.006646389546017799
Ford,F-150,Autospace Incorporated - Deals On Wheelz,10,6,2,75,0.011458260443635855,0.031107424305267525,125.01785714285714,0.007998857306099129
Ford,F-150,Sundance Chevrolet,33,27,17,52,0.012070533902456092,0.021567814184985483,159.85185185185185,0.006255792400370714
Ford,F-150,1716858 Ontario Inc.,12,8,3,41,0.0028864320201525437,0.017005391953546247,141.56521739130434,0.007063882063882064
Ford,F-150,2776588 Ontario Limited - Trucktown,7,5,4,38,0.00851934784129872,0.015761094981335544,97.72727272727273,0.010232558139534883
Ford,F-150,European Auto Gallery,19,18,13,37,0.012123014484640683,0.015346329323931979,171.1153846153846,0.005844009889862891
Ford,F-150,Marsh Auto Sales LLC,10,6,3,35,0.0020467427051990765,0.014516798009124844,150.78947368421052,0.006631762652705061
Ford,F-150,Era Classic,2,2,1,32,0.009026660135749773,0.013272501036914143,194.33333333333334,0.005145797598627787
Ford,F-150,Corey Ford,18,13,6,30,0.0009446504793226506,0.01244296972210701,134.6086956521739,0.007428940568475453
Ford,F-150,1068827 Ontario Inc.,17,14,9,30,0.004320901266531383,0.01244296972210701,202.05555555555554,0.004949133901567226
Ford,F-150,EV Elite Auto Sales,5,3,2,28,0.004810720033587573,0.011613438407299876,165.47826086956522,0.00604308985811876
